sms,label
"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
",1
"Oh ok no prob..
",0
"Check audrey's status right now
",0
"Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
",0
"I will spoil you in bed as well :)
",0
"I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
",0
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994
",1
"Keep my payasam there if rinu brings
",0
"I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
",0
"Hey i will be late ah... Meet you at 945+
",0
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
",1
"Mm that time you dont like fun
",0
"Yup having my lunch buffet now.. U eat already?
",0
"Huh so late... Fr dinner?
",0
"Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
",0
"Pick you up bout 7.30ish? What time are  and that going?
",0
"Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
",0
"The hair cream has not been shipped.
",0
"None of that's happening til you get here though
",0
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour
",0
"Haha get used to driving to usf man, I know a lot of stoners
",0
"Headin towards busetop
",0
"Cos i want it to be your thing
",0
"Alright i have a new goal now
",0
"Alright, I'll head out in a few minutes, text me where to meet you
",0
"aathi..where are you dear..
",0
"At home watching tv lor.
",0
"But i have to. I like to have love and arrange.
",0
"Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
",0
"Sorry, I'll call later
",0
"Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
",0
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
",1
"I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
",0
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya
",0
"great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
",0
"They don't put that stuff on the roads to keep it from getting slippery over there?
",0
"Yup, no need. I'll jus wait 4 e rain 2 stop.
",0
"There are many company. Tell me the language.
",0
"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
",1
"Love you aathi..love u lot..
",0
"When're you guys getting back? G said you were thinking about not staying for mcr
",0
"Almost there, see u in a sec
",0
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?
",0
"Dear reached railway. What happen to you
",0
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2
",0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!
",1
"Sorry,in meeting I'll call later
",0
"Kate jackson rec center before 7ish, right?
",0
"When can ü come out?
",0
"Check with nuerologist.
",0
"Lolnice. I went from a fish to ..water.?
",0
"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
",0
"Prabha..i'm soryda..realy..frm heart i'm sory
",0
"Lol ok your forgiven :)
",0
"No..jst change tat only..
",0
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
",1
"S:)no competition for him.
",0
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. 
",0
"Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
",0
"Were gonna go get some tacos
",0
"That's very rude, you on campus?
",0
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU
",1
"Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
",0
"You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
",1
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea
",0
"Probably gonna be here for a while, see you later tonight &lt;)
",0
"Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
",0
"This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
",0
"Sorry that took so long, omw now
",0
"Hurry up, I've been weed-deficient for like three days
",0
"O. Well uv causes mutations. Sunscreen is like essential thesedays
",0
"Hi Princess! Thank you for the pics. You are very pretty. How are you?
",0
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. 
",0
"Thanx 4 e brownie it's v nice...
",0
"Geeeee ... I love you so much I can barely stand it
",0
"Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
",0
"Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
",0
"Waiting for your call.
",0
"Nope i waiting in sch 4 daddy... 
",0
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.
",0
"We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
",1
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... 
",0
"""Pete can you please ring meive hardly gotany credit""
",0
"I'm in a meeting, call me later at
",0
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
",1
"PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
",1
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...
",0
"I'm going out to buy mum's present ar.
",0
"Speaking of does he have any cash yet?
",0
"TaKe CaRE n gET WeLL sOOn
",0
"XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
",1
"what I meant to say is cant wait to see u again getting bored of this bridgwater banter
",0
"Neva mind it's ok..
",0
"THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
",0
"""Happy valentines day"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...
",0
"I come n pick ü up... Come out immediately aft ur lesson...
",0
"MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
",0
"Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
",0
"New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
",1
"Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
",1
"Thank u!
",0
"Got it. Seventeen pounds for seven hundred ml – hope ok.
",0
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.
",1
"Me n him so funny...
",0
"When ü login dat time... Dad fetching ü home now?
",0
"Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
",0
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
",0
"No prob. I will send to your email.
",0
"Tell them the drug dealer's getting impatient
",0
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com
",0
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '
",0
"Sorry me going home first... Daddy come fetch ü later...
",0
"Leave it de:-). Start Prepare for next:-)..
",0
"En chikku nange bakra msg kalstiya..then had tea/coffee?
",0
"Carlos'll be here in a minute if you still need to buy
",0
"Ho ho - big belly laugh! See ya tomo
",0
"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468
",1
"Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
",1
"I've got  &lt;#&gt; , any way I could pick up?
",0
"Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
",1
"Have you finished work yet? :)
",0
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8
",0
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.
",0
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.
",0
"Will purchase d stuff today and mail to you. Do you have a po box number?
",0
"meet you in corporation st outside gap … you can see how my mind is working!
",0
"Mum ask ü to buy food home...
",0
"What is important is that you prevent dehydration by giving her enough fluids
",0
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!
",0
"So when do you wanna gym harri
",0
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT
",1
"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
",1
"08714712388 between 10am-7pm Cost 10p
",1
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.
",0
"He also knows about lunch menu only da. . I know
",0
"When i have stuff to sell i.ll tell you
",0
"+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
",1
"You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
",1
"S'fine. Anytime. All the best with it.
",0
"That is wondar full flim.
",0
"Got it! It looks scrumptious... daddy wants to eat you all night long!
",0
"Alright omw, gotta change my order to a half8th
",0
"No he didn't. Spring is coming early yay!
",0
"Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
",0
"Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
",1
"Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
",0
"Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
",0
"Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
",0
"By monday next week. Give me the full gist
",0
"Dont gimme that lip caveboy
",0
"When did you get to the library
",0
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts
",0
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.
",0
"UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
",1
"Sorry, I'll call later
",0
"I cant pick the phone right now. Pls send a message
",0
"Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
",0
"I wil be there with in  &lt;#&gt;  minutes. Got any space
",0
"Just sleeping..and surfing
",0
"""Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx""
",0
"You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
",1
"She was supposed to be but couldn't make it, she's still in town though
",0
"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
",1
"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
",0
"All e best 4 ur driving tmr :-)
",0
"Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!
",0
"There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
",0
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa
",1
"Ok i msg u b4 i leave my house.
",0
"You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
",1
"I dled 3d its very imp
",0
"Boooo you always work. Just quit.
",0
"Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
",1
"I borrow ur bag ok.
",0
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT
",1
"Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
",0
"On the road so cant txt
",0
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
",1
"25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
",1
"Have a good evening! Ttyl
",0
"Hmm .. Bits and pieces lol ... *sighs* ...
",0
"Hahaha..use your brain dear
",0
"Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
",0
"Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx
",0
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago
",0
"Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
",1
"Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
",0
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later
",0
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X
",1
"U reach orchard already? U wan 2 go buy tickets first?
",0
"No da if you run that it activate the full version da.
",0
"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.""
",0
"Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
",0
"Did he just say somebody is named tampa
",0
"In work now. Going have in few min.
",0
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you
",0
"What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
",1
"Its going good...no problem..but still need little experience to understand american customer voice...
",0
"I'll text you when I drop x off
",0
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary
",1
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
",1
"Dude we should go sup again
",0
"Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
",0
"Gibbs unsold.mike hussey
",0
"Wife.how she knew the time of murder exactly
",0
"Why do you ask princess?
",0
"I am great princess! What are you thinking about me? :)
",0
"It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
",0
"Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
",0
"Thursday night? Yeah, sure thing, we'll work it out then
",0
"Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
",0
"How is it possible to teach you. And where.
",0
"Hey what's up charles sorry about the late reply.
",0
"Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
",0
"Ok lor but not too early. Me still having project meeting now.
",0
"I could ask carlos if we could get more if anybody else can chip in
",0
"Was actually about to send you a reminder today. Have a wonderful weekend
",0
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL
",0
"Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
",0
"Dont talk to him ever ok its my word.
",0
"On ma way to school. Can you pls send me ashley's number
",0
"She went to attend another two rounds today..but still did't reach home..
",0
"K:)i will give my kvb acc details:)
",0
"So do you have samus shoulders yet
",0
